month,threshold,confederation,share,share_pct
2015-11,20,UEFA,0.6,60.0
2015-12,20,AFC,0.3333333333333333,33.33333333333333
2015-12,20,CAF,0.3888888888888889,38.88888888888889
2015-12,20,CONCACAF,0.2777777777777778,27.77777777777778
2015-12,20,CONMEBOL,0.0,0.0
2015-12,20,OFC,0.0,0.0
2015-12,20,UEFA,0.0,0.0
2016-01,20,AFC,0.2,20.0
2016-01,20,CAF,0.35,35.0
2016-01,20,CONCACAF,0.25,25.0
2016-01,20,CONMEBOL,0.0,0.0
2016-01,20,OFC,0.0,0.0
2016-01,20,UEFA,0.2,20.0
2016-02,20,AFC,0.3,30.0
2016-02,20,CAF,0.2,20.0
2016-02,20,CONCACAF,0.5,50.0
2016-02,20,CONMEBOL,0.0,0.0
2016-02,20,OFC,0.0,0.0
2016-02,20,UEFA,0.0,0.0
2016-03,20,AFC,0.05,5.0
2016-03,20,CAF,0.0,0.0
2016-03,20,CONCACAF,0.1,10.0
2016-03,20,CONMEBOL,0.25,25.0
2016-03,20,OFC,0.0,0.0
2016-03,20,UEFA,0.6,60.0
2016-04,20,AFC,0.0,0.0
2016-04,20,CAF,0.0,0.0
2016-04,20,CONCACAF,1.0,100.0
2016-04,20,CONMEBOL,0.0,0.0
2016-04,20,OFC,0.0,0.0
2016-04,20,UEFA,0.0,0.0
2016-05,20,AFC,0.0,0.0
2016-05,20,CAF,0.0,0.0
2016-05,20,CONCACAF,0.15,15.0
2016-05,20,CONMEBOL,0.15,15.0
2016-05,20,OFC,0.0,0.0
2016-05,20,UEFA,0.7,70.0
2016-06,20,AFC,0.05,5.0
2016-06,20,CAF,0.0,0.0
2016-06,20,CONCACAF,0.1,10.0
2016-06,20,CONMEBOL,0.3,30.0
2016-06,20,OFC,0.0,0.0
2016-06,20,UEFA,0.55,55.00000000000001
2016-07,20,AFC,0.5333333333333333,53.333333333333336
2016-07,20,CAF,0.0,0.0
2016-07,20,CONCACAF,0.0,0.0
2016-07,20,CONMEBOL,0.0,0.0
2016-07,20,OFC,0.0,0.0
2016-07,20,UEFA,0.4666666666666667,46.666666666666664
2016-08,20,AFC,0.3,30.0
2016-08,20,CAF,0.15,15.0
2016-08,20,CONCACAF,0.05,5.0
2016-08,20,CONMEBOL,0.0,0.0
2016-08,20,OFC,0.0,0.0
2016-08,20,UEFA,0.5,50.0
2016-09,20,AFC,0.05,5.0
2016-09,20,CAF,0.0,0.0
2016-09,20,CONCACAF,0.15,15.0
2016-09,20,CONMEBOL,0.25,25.0
2016-09,20,OFC,0.0,0.0
2016-09,20,UEFA,0.55,55.00000000000001
2016-10,20,AFC,0.05,5.0
2016-10,20,CAF,0.0,0.0
2016-10,20,CONCACAF,0.15,15.0
2016-10,20,CONMEBOL,0.3,30.0
2016-10,20,OFC,0.0,0.0
2016-10,20,UEFA,0.5,50.0
2016-11,20,AFC,0.05,5.0
2016-11,20,CAF,0.0,0.0
2016-11,20,CONCACAF,0.15,15.0
2016-11,20,CONMEBOL,0.3,30.0
2016-11,20,OFC,0.0,0.0
2016-11,20,UEFA,0.5,50.0
2016-12,20,AFC,0.4444444444444444,44.44444444444444
2016-12,20,CAF,0.3333333333333333,33.33333333333333
2016-12,20,CONCACAF,0.2222222222222222,22.22222222222222
2016-12,20,CONMEBOL,0.0,0.0
2016-12,20,OFC,0.0,0.0
2016-12,20,UEFA,0.0,0.0
2017-01,20,AFC,0.1,10.0
2017-01,20,CAF,0.35,35.0
2017-01,20,CONCACAF,0.25,25.0
2017-01,20,CONMEBOL,0.1,10.0
2017-01,20,OFC,0.0,0.0
2017-01,20,UEFA,0.2,20.0
2017-02,20,AFC,0.0,0.0
2017-02,20,CAF,0.5,50.0
2017-02,20,CONCACAF,0.25,25.0
2017-02,20,CONMEBOL,0.125,12.5
2017-02,20,OFC,0.0,0.0
2017-02,20,UEFA,0.125,12.5
2017-03,20,AFC,0.05,5.0
2017-03,20,CAF,0.0,0.0
2017-03,20,CONCACAF,0.15,15.0
2017-03,20,CONMEBOL,0.25,25.0
2017-03,20,OFC,0.0,0.0
2017-03,20,UEFA,0.55,55.00000000000001
2017-04,20,AFC,0.0,0.0
2017-04,20,CAF,0.0,0.0
2017-04,20,CONCACAF,1.0,100.0
2017-04,20,CONMEBOL,0.0,0.0
2017-04,20,OFC,0.0,0.0
2017-04,20,UEFA,0.0,0.0
2017-05,20,AFC,0.0,0.0
2017-05,20,CAF,0.5,50.0
2017-05,20,CONCACAF,0.25,25.0
2017-05,20,CONMEBOL,0.0,0.0
2017-05,20,OFC,0.1,10.0
2017-05,20,UEFA,0.15,15.0
2017-06,20,AFC,0.05,5.0
2017-06,20,CAF,0.0,0.0
2017-06,20,CONCACAF,0.15,15.0
2017-06,20,CONMEBOL,0.25,25.0
2017-06,20,OFC,0.0,0.0
2017-06,20,UEFA,0.55,55.00000000000001
2017-07,20,AFC,0.05,5.0
2017-07,20,CAF,0.25,25.0
2017-07,20,CONCACAF,0.4,40.0
2017-07,20,CONMEBOL,0.15,15.0
2017-07,20,OFC,0.0,0.0
2017-07,20,UEFA,0.15,15.0
2017-08,20,AFC,0.2,20.0
2017-08,20,CAF,0.0,0.0
2017-08,20,CONCACAF,0.1,10.0
2017-08,20,CONMEBOL,0.35,35.0
2017-08,20,OFC,0.0,0.0
2017-08,20,UEFA,0.35,35.0
2017-09,20,AFC,0.05,5.0
2017-09,20,CAF,0.0,0.0
2017-09,20,CONCACAF,0.15,15.0
2017-09,20,CONMEBOL,0.25,25.0
2017-09,20,OFC,0.0,0.0
2017-09,20,UEFA,0.55,55.00000000000001
2017-10,20,AFC,0.05,5.0
2017-10,20,CAF,0.0,0.0
2017-10,20,CONCACAF,0.1,10.0
2017-10,20,CONMEBOL,0.25,25.0
2017-10,20,OFC,0.0,0.0
2017-10,20,UEFA,0.6,60.0
2017-11,20,AFC,0.05,5.0
2017-11,20,CAF,0.0,0.0
2017-11,20,CONCACAF,0.1,10.0
2017-11,20,CONMEBOL,0.2,20.0
2017-11,20,OFC,0.0,0.0
2017-11,20,UEFA,0.65,65.0
2017-12,20,AFC,0.6,60.0
2017-12,20,CAF,0.2,20.0
2017-12,20,CONCACAF,0.0,0.0
2017-12,20,CONMEBOL,0.0,0.0
2017-12,20,OFC,0.2,20.0
2017-12,20,UEFA,0.0,0.0
2018-01,20,AFC,0.3888888888888889,38.88888888888889
2018-01,20,CAF,0.0,0.0
2018-01,20,CONCACAF,0.16666666666666666,16.666666666666664
2018-01,20,CONMEBOL,0.0,0.0
2018-01,20,OFC,0.0,0.0
2018-01,20,UEFA,0.4444444444444444,44.44444444444444
2018-02,20,AFC,0.6,60.0
2018-02,20,CAF,0.0,0.0
2018-02,20,CONCACAF,0.0,0.0
2018-02,20,CONMEBOL,0.0,0.0
2018-02,20,OFC,0.0,0.0
2018-02,20,UEFA,0.4,40.0
2018-03,20,AFC,0.05,5.0
2018-03,20,CAF,0.0,0.0
2018-03,20,CONCACAF,0.1,10.0
2018-03,20,CONMEBOL,0.25,25.0
2018-03,20,OFC,0.0,0.0
2018-03,20,UEFA,0.6,60.0
2018-04,20,AFC,0.2,20.0
2018-04,20,CAF,0.2,20.0
2018-04,20,CONCACAF,0.6,60.0
2018-04,20,CONMEBOL,0.0,0.0
2018-04,20,OFC,0.0,0.0
2018-04,20,UEFA,0.0,0.0
